Date,County Name,Partially Covered,Fully Covered,Additional Dose
12/22/2020,Susquehanna,15,,
12/22/2020,Tioga,48,,
03/15/2021,Monroe,557,377,
12/22/2020,Warren,82,,
01/03/2021,Perry,2,,
12/22/2020,Wyoming,16,,
12/22/2020,Blair,351,,
12/29/2020,Butler,270,,
05/12/2021,Butler,285,1059,
12/23/2020,Bedford,42,,
04/15/2021,Schuylkill,514,821,
12/23/2020,Cameron,6,,
08/13/2021,Indiana,54,37,
03/08/2021,Snyder,43,93,
12/23/2020,Clarion,100,,
12/28/2020,Bedford,62,,
07/13/2021,Allegheny,583,759,
06/16/2021,Blair,63,164,
04/09/2021,Union,76,144,
02/12/2021,Wayne,243,71,
06/01/2021,Juniata,9,22,
11/04/2021,Westmoreland,317,122,1072
05/01/2021,Lehigh,540,604,
12/23/2020,Fulton,24,,
09/02/2021,Allegheny,661,732,459
02/13/2021,Berks,784,405,
02/20/2021,Luzerne,145,298,
01/08/2021,Luzerne,993,192,
04/11/2021,Susquehanna,12,146,
03/19/2021,Franklin,936,333,
04/15/2021,Indiana,901,315,
12/29/2020,Northampton,492,,
11/11/2021,Cumberland,441,127,736
11/03/2021,Blair,99,42,412
04/07/2021,Northumberland,184,507,
10/09/2021,Mifflin,28,36,81
09/24/2021,Dauphin,195,239,121
03/01/2021,Schuylkill,207,349,
09/23/2021,Susquehanna,11,19,2
12/23/2020,Snyder,24,,
09/13/2021,Lancaster,282,331,68
12/23/2020,Sullivan,3,,
02/26/2021,Juniata,34,98,
06/11/2021,Chester,581,2062,
04/05/2021,Allegheny,5964,4574,
09/18/2021,York,204,276,61
09/27/2021,Wyoming,14,14,12
12/23/2020,Wyoming,20,,
12/24/2020,Adams,13,,
06/04/2021,Blair,100,302,
12/24/2020,Armstrong,20,,
08/13/2021,Montgomery,584,633,18
03/19/2021,Columbia,177,86,
11/13/2021,Monroe,137,29,146
12/24/2020,Blair,5,,
12/24/2020,Bradford,2,,
08/15/2021,Luzerne,128,73,23
12/24/2020,Cameron,1,,
12/24/2020,Clarion,11,,
12/24/2020,Clearfield,34,,
12/24/2020,Clinton,3,,
12/24/2020,Crawford,6,,
12/24/2020,Elk,2,,
07/19/2021,Venango,29,27,
04/24/2021,Armstrong,132,69,
05/01/2021,Pike,85,479,
12/24/2020,Forest,3,,
07/26/2021,Philadelphia,333,137,
12/24/2020,Fulton,4,,
12/24/2020,Jefferson,20,,
12/24/2020,Juniata,7,,
03/10/2021,Centre,461,1305,
06/15/2021,Cumberland,242,646,
12/24/2020,Lawrence,11,,
02/24/2021,Somerset,265,180,
04/22/2021,Luzerne,1164,2234,
10/26/2021,Bedford,24,22,136
12/24/2020,Lycoming,6,,
04/22/2021,Indiana,691,183,
04/12/2021,Allegheny,8869,6498,
12/24/2020,Mifflin,17,,
09/24/2021,Mckean,33,31,2
07/28/2021,Carbon,78,40,
12/24/2020,Northumberland,36,,
06/17/2021,Lebanon,115,295,
12/24/2020,Pike,6,,
12/24/2020,Somerset,38,,
12/24/2020,Susquehanna,30,,
12/24/2020,Tioga,2,,
12/24/2020,Venango,5,,
01/21/2021,Dauphin,698,115,
12/24/2020,Wayne,10,,
04/20/2021,Luzerne,1181,1529,
02/26/2021,Mercer,620,338,
12/25/2020,Adams,1,,
09/10/2021,Mercer,98,84,25
12/25/2020,Beaver,1,,
12/25/2020,Bucks,36,,
12/25/2020,Chester,1,,
12/25/2020,Cumberland,1,,
12/25/2020,Dauphin,1,,
12/25/2020,Delaware,10,,
12/25/2020,Fulton,1,,
06/30/2021,Somerset,36,45,
12/25/2020,Lancaster,5,,
12/25/2020,Lebanon,1,,
12/25/2020,Lehigh,3,,
07/04/2021,Lancaster,6,17,
12/25/2020,Tioga,1,,
12/25/2020,Westmoreland,1,,
12/25/2020,York,3,,
03/19/2021,Centre,595,310,
07/23/2021,Northampton,331,265,
12/26/2020,Armstrong,14,,
12/26/2020,Bedford,6,,
03/11/2021,Northumberland,279,483,
12/26/2020,Blair,73,,
02/02/2021,Venango,91,12,
02/07/2021,Cambria,56,4,
01/30/2021,Cambria,1137,5,
04/09/2021,Indiana,878,403,
11/07/2021,Allegheny,790,164,1432
05/29/2021,York,687,944,
02/24/2021,Juniata,54,53,
09/25/2021,Dauphin,156,131,134
07/19/2021,Dauphin,132,153,
03/07/2021,Carbon,20,27,
12/26/2020,Fayette,3,,
04/04/2021,Clinton,32,4,
12/26/2020,Fulton,1,,
12/26/2020,Greene,3,,
12/26/2020,Indiana,3,,
